Sample in Buffer,Sample in Window,TRIGGER,sig_AD2_IN[9:0],sig_AD1_IN[9:0],LED_IO_OBUF[2:0]
843,843,0,-96,-150,2
844,844,0,50,-169,2
845,845,0,29,-23,2
846,846,0,-44,49,2
847,847,0,48,63,2
848,848,0,-7,86,2
849,849,0,-105,50,2
850,850,0,74,-12,2
851,851,0,119,-41,2
852,852,0,-162,28,2
853,853,0,-91,-48,2
854,854,0,212,24,2
855,855,0,19,47,2
856,856,0,-211,-182,2
857,857,0,62,-92,2
858,858,0,164,68,2
859,859,0,-148,7,2
860,860,0,-82,32,2
861,861,0,194,70,2
862,862,0,-9,131,2
863,863,0,-206,1,2
864,864,0,88,-98,2
865,865,0,173,31,2
866,866,0,-141,-46,2
867,867,0,-123,-48,2
868,868,0,147,74,2
869,869,0,56,-64,2
870,870,0,-128,-202,2
871,871,0,-12,47,2
872,872,0,77,191,2
873,873,0,-27,18,2
874,874,0,-31,-14,2
875,875,0,44,-2,2
876,876,0,1,7,2
877,877,0,-46,22,2
878,878,0,13,-117,2
879,879,0,44,1,2
880,880,0,-8,139,2
881,881,0,-51,-36,2
882,882,0,-10,-61,2
883,883,0,51,-93,2
884,884,0,20,-12,2
885,885,0,-79,108,2
886,886,0,-37,30,2
887,887,0,101,-27,2
888,888,0,28,-30,2
889,889,0,-124,37,2
890,890,0,-6,-18,2
891,891,0,133,-75,2
892,892,0,-16,28,2
893,893,0,-135,-42,2
894,894,0,21,50,2
895,895,0,122,135,2
896,896,0,-32,30,2
897,897,0,-101,-42,2
898,898,0,11,-144,2
899,899,0,73,27,2
900,900,0,2,37,2
901,901,0,-55,-131,2
902,902,0,-16,-5,2
903,903,0,18,49,2
904,904,0,23,-8,2
905,905,0,15,16,2
906,906,0,-30,1,2
907,907,0,-65,58,2
908,908,0,28,13,2
909,909,0,118,41,2
910,910,0,-38,101,2
911,911,0,-169,-19,2
912,912,0,47,16,2
913,913,0,177,-107,2
914,914,0,-61,-308,2
915,915,0,-168,-123,2
916,916,0,67,102,2
917,917,0,116,208,2
918,918,0,-44,129,2
919,919,0,-50,80,2
920,920,0,-6,-72,2
921,921,0,-9,-60,2
922,922,0,85,15,2
923,923,0,36,-75,2
924,924,0,-176,24,2
925,925,0,-24,53,2
926,926,0,236,23,2
927,927,0,-29,-94,2
928,928,0,-257,-202,2
929,929,0,91,73,2
930,930,0,224,127,2
931,931,0,-159,-28,2
932,932,0,-148,66,2
933,933,0,181,39,2
934,934,0,49,-11,2
935,935,0,-160,-36,2
936,936,0,28,-55,2
937,937,0,95,6,2
938,938,0,-82,6,2
939,939,0,-18,109,2
940,940,0,70,-16,2
941,941,0,-45,-79,2
942,942,0,-18,-118,2
943,943,0,56,-65,2
944,944,0,-62,105,2
945,945,0,-25,61,2
946,946,0,122,57,2
947,947,0,-50,-1,2
948,948,0,-135,56,2
949,949,0,137,-47,2
950,950,0,106,-69,2
951,951,0,-197,78,2
952,952,0,-47,-134,2
953,953,0,211,-63,2
954,954,0,-17,123,2
955,955,0,-185,14,2
956,956,0,62,-17,2
957,957,0,129,-5,2
958,958,0,-76,58,2
959,959,0,-73,-19,2
960,960,0,63,-79,2
961,961,0,27,37,2
962,962,0,-24,14,2
963,963,0,-16,82,2
964,964,0,-16,-35,2
965,965,0,20,-65,2
966,966,0,33,-27,2
967,967,0,-35,-164,2
968,968,0,-35,136,2
969,969,0,43,65,2
970,970,0,13,-36,2
971,971,0,-39,198,2
972,972,0,16,-10,2
